Sugars,(9.0, 'g')
Dietary Fiber,(2.0, 'g')
Soluble Fiber,(1.0, 'g')
Calories from Fat,41545.0
Monounsaturated Fat,(0.5, 'g')
Polyunsaturated Fat,(0.5, 'g')
Other Carbohydrate,(11.0, 'g')
Trans Fat,(0.0, 'g')
